ivfflat_probes,iterative_scan,ivfflat_max_probes,ann_limit,fts_limit,final_limit,exact_baseline_queries,ann_recall_at_5,ann_recall_at_10,ann_recall_at_20,latency_p50_ms,latency_p95_ms,latency_p99_ms,result_count_after_filters,status_distribution,index_used_normal_planner,index_used_forced
10,off,60,50,30,10,5,0.24,0.2,0.17,9.403,9.941,9.941,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,50,30,15,5,0.24,0.2,0.17,9.286,9.333,9.333,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,50,30,20,5,0.24,0.2,0.17,9.188,9.667,9.667,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,50,50,10,5,0.24,0.2,0.17,9.438,9.491,9.491,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,50,50,15,5,0.24,0.2,0.17,8.813,9.136,9.136,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,50,50,20,5,0.24,0.2,0.17,8.867,9.044,9.044,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,50,75,10,5,0.24,0.2,0.17,8.748,8.936,8.936,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,50,75,15,5,0.24,0.2,0.17,8.871,9.188,9.188,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,50,75,20,5,0.24,0.2,0.17,8.727,9.189,9.189,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,50,100,10,5,0.24,0.2,0.17,8.674,8.879,8.879,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,50,100,15,5,0.24,0.2,0.17,9.224,11.612,11.612,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,50,100,20,5,0.24,0.2,0.17,8.953,9.0,9.0,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,75,30,10,5,0.24,0.2,0.17,9.228,9.538,9.538,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,75,30,15,5,0.24,0.2,0.17,9.378,9.556,9.556,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,75,30,20,5,0.24,0.2,0.17,9.545,9.626,9.626,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,75,50,10,5,0.24,0.2,0.17,9.144,9.549,9.549,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,75,50,15,5,0.24,0.2,0.17,9.627,9.951,9.951,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,75,50,20,5,0.24,0.2,0.17,9.66,11.11,11.11,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,75,75,10,5,0.24,0.2,0.17,9.117,9.182,9.182,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,75,75,15,5,0.24,0.2,0.17,9.159,9.274,9.274,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,75,75,20,5,0.24,0.2,0.17,8.953,9.376,9.376,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,75,100,10,5,0.24,0.2,0.17,8.955,9.669,9.669,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,75,100,15,5,0.24,0.2,0.17,9.122,9.385,9.385,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,75,100,20,5,0.24,0.2,0.17,9.106,9.245,9.245,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,100,30,10,5,0.24,0.2,0.17,9.262,9.605,9.605,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,100,30,15,5,0.24,0.2,0.17,9.065,9.339,9.339,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,100,30,20,5,0.24,0.2,0.17,9.182,9.336,9.336,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,100,50,10,5,0.24,0.2,0.17,9.339,9.59,9.59,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,100,50,15,5,0.24,0.2,0.17,9.228,9.615,9.615,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,100,50,20,5,0.24,0.2,0.17,9.567,11.522,11.522,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,100,75,10,5,0.24,0.2,0.17,9.281,9.435,9.435,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,100,75,15,5,0.24,0.2,0.17,9.291,9.472,9.472,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,100,75,20,5,0.24,0.2,0.17,9.219,11.789,11.789,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,100,100,10,5,0.24,0.2,0.17,8.886,9.311,9.311,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,100,100,15,5,0.24,0.2,0.17,9.213,9.386,9.386,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,100,100,20,5,0.24,0.2,0.17,9.557,9.881,9.881,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,150,30,10,5,0.24,0.2,0.17,9.352,9.565,9.565,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,150,30,15,5,0.24,0.2,0.17,9.176,9.255,9.255,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,150,30,20,5,0.24,0.2,0.17,9.171,9.31,9.31,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,150,50,10,5,0.24,0.2,0.17,9.063,9.713,9.713,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,150,50,15,5,0.24,0.2,0.17,8.93,9.156,9.156,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,150,50,20,5,0.24,0.2,0.17,8.976,9.578,9.578,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,150,75,10,5,0.24,0.2,0.17,8.847,9.294,9.294,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,150,75,15,5,0.24,0.2,0.17,9.429,9.65,9.65,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,150,75,20,5,0.24,0.2,0.17,9.097,9.443,9.443,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,150,100,10,5,0.24,0.2,0.17,9.163,9.236,9.236,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,150,100,15,5,0.24,0.2,0.17,8.968,9.472,9.472,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,150,100,20,5,0.24,0.2,0.17,9.117,9.26,9.26,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,200,30,10,5,0.24,0.2,0.17,8.979,9.604,9.604,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,200,30,15,5,0.24,0.2,0.17,9.043,9.282,9.282,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,200,30,20,5,0.24,0.2,0.17,9.041,9.441,9.441,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,200,50,10,5,0.24,0.2,0.17,9.254,9.808,9.808,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,200,50,15,5,0.24,0.2,0.17,9.114,9.32,9.32,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,200,50,20,5,0.24,0.2,0.17,9.214,10.599,10.599,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,200,75,10,5,0.24,0.2,0.17,9.621,9.975,9.975,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,200,75,15,5,0.24,0.2,0.17,9.149,9.294,9.294,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,60,200,75,20,5,0.24,0.2,0.17,9.486,9.809,9.809,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,60,200,100,10,5,0.24,0.2,0.17,9.1,9.64,9.64,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,60,200,100,15,5,0.24,0.2,0.17,9.015,9.34,9.34,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
