"query_id","language","intent","content_domain","status_scope","answerable","split","expected_provisions","technical_expected_result","reviewer_batch_ref","correct_authority","correct_version","correct_provision","citation_supports_claim","material_omission","unsafe_legal_conclusion","preferred_answer","reviewer_comments","reviewer_name","review_date"
"HY-SEM-001","hy","armenian_semantic","knowledge_base","current","true","train","N 557-Ն","expected_document_ids=003ca036-0876-4fe1-ad38-7d88f219719b expected_provisions=N 557-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-001)","","","","","","","","","",""
"HY-SEM-002","hy","armenian_semantic","knowledge_base","current","true","train","N 1086-Ն","expected_document_ids=07b45ec2-4405-426e-bc25-df3cc3d90c93 expected_provisions=N 1086-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-002)","","","","","","","","","",""
"HY-SEM-003","hy","armenian_semantic","knowledge_base","current","true","train","N 558-Ն","expected_document_ids=0855b378-ac84-48c7-9cef-219579effc0a expected_provisions=N 558-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-003)","","","","","","","","","",""
"HY-SEM-004","hy","armenian_semantic","knowledge_base","current","true","train","N 1025-Ն","expected_document_ids=0a6e3f31-89d1-4b10-987f-327f5f692dfd expected_provisions=N 1025-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-004)","","","","","","","","","",""
"HY-SEM-005","hy","armenian_semantic","knowledge_base","current","true","train","N 482-Ա","expected_document_ids=0a7a7a6a-a307-40ff-8262-836447f95379 expected_provisions=N 482-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-005)","","","","","","","","","",""
"HY-SEM-006","hy","armenian_semantic","knowledge_base","current","true","train","N 1102-Ա","expected_document_ids=0aa77aab-2a8e-4850-8959-f8fc0ecaaa30 expected_provisions=N 1102-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-006)","","","","","","","","","",""
"HY-SEM-007","hy","armenian_semantic","knowledge_base","current","true","train","թիվ 130","expected_document_ids=0c2fdf35-7535-4ff2-8711-c656c89213df expected_provisions=թիվ 130 answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-007)","","","","","","","","","",""
"HY-SEM-008","hy","armenian_semantic","knowledge_base","current","true","train","N 1163-Ա","expected_document_ids=0d6d74e5-1690-4a75-9bdf-0d8687676691 expected_provisions=N 1163-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-008)","","","","","","","","","",""
"HY-SEM-009","hy","armenian_semantic","knowledge_base","current","true","train","N 2318-Ա","expected_document_ids=0f868936-84bc-4685-9fff-912068ca5dbd expected_provisions=N 2318-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-009)","","","","","","","","","",""
"HY-SEM-010","hy","armenian_semantic","knowledge_base","current","true","train","N 482-Ա","expected_document_ids=15d020ed-88b6-4fc8-90d2-7643d2cccb9f expected_provisions=N 482-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-010)","","","","","","","","","",""
"HY-SEM-011","hy","armenian_semantic","knowledge_base","current","true","train","N 1079-Լ","expected_document_ids=161dce66-3cde-4b92-8830-c8cdbbc0caed expected_provisions=N 1079-Լ answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-011)","","","","","","","","","",""
"HY-SEM-012","hy","armenian_semantic","knowledge_base","current","true","train","N 993-Ն","expected_document_ids=170c692d-7c32-404f-a23e-0f616a05743f expected_provisions=N 993-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-012)","","","","","","","","","",""
"HY-SEM-013","hy","armenian_semantic","knowledge_base","current","true","train","N 492-Ա","expected_document_ids=17b30913-8068-4559-a92e-d06dd80fecea expected_provisions=N 492-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-013)","","","","","","","","","",""
"HY-SEM-014","hy","armenian_semantic","knowledge_base","current","true","train","N 1058-Ա","expected_document_ids=17ed448d-e6d9-443d-987a-851114aa6cae expected_provisions=N 1058-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-014)","","","","","","","","","",""
"HY-SEM-015","hy","armenian_semantic","knowledge_base","current","true","train","N 2367-Ա","expected_document_ids=18767f7a-6777-416b-85c6-dcc903561a38 expected_provisions=N 2367-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-015)","","","","","","","","","",""
